tw_type,id,user,in_reply_to_status_id,in_reply_to_user_id,sentiment
reply,1242399750206488577,1233417139765284864,1242224264683667462,94208950,-0.0174
reply,1242399758846537733,1445177300,1242398992006139905,64705123,-0.0107
reply,1242399766819958787,1241001736770207744,1241968300306780161,18071520,-1.7219
reply,1242399770041364482,29935980,1242398914105561089,29935980,-0.7890
reply,1242399770796122113,475943289,1242331518095089664,52976232,0.9503
reply,1242399774814470144,2495812759,1242366643990343681,216299334,-0.8410
reply,1242399775024021510,33143169,1242369309839671302,39453212,0.1541
reply,1242399775170969600,1163009492293955587,1242393443533373440,45314710,-1.1323
reply,1242399779281223680,1242356441937149953,1242394703640682496,1951017218,1.0890
reply,1242399787858759680,1042168771790733313,1242397080137748480,779742611628175360,-1.2532
reply,1242399787477078016,897384878227865600,1242048735527481347,897384878227865600,1.5787
reply,1242399788240338944,1066326681399558144,1242339980137111552,419356257,0.0542
reply,1242399796230524929,46252858,1242317663898124288,67389524,0.7026
reply,1242399796385677312,861878932941008896,1242380819592773633,52360480,1.1954
reply,1242399800504594434,532603860,1241832023787962370,4914384040,1.3789
reply,1242399804254121984,88537281,1242279598655561728,1046316084897308672,-0.4231
reply,1242399803927154688,2730862776,1242394374224392192,25073877,-0.4813
reply,1242399804543496193,734595423285981184,1242399802953879556,734595423285981184,-1.9640
reply,1242399808389894145,1394341147,1239628913506168832,43287329,-1.2023
reply,1242399808993681408,936567497708396545,1242399600264097792,2473524691,1.9936
reply,1242399809065103361,4141787475,1242394374224392192,25073877,1.3565
reply,1242399809161424896,319932205,1242395917661003777,319932205,-0.9695
reply,1242399812420538368,1212808745631174656,1242393333651124226,1212808745631174656,1.1563
reply,1242399816971419648,3889497675,1242255681660518401,743274734838644737,0.5146
reply,1242399817344487424,797761076595068928,1241847607451934721,2844510786,-0.7842
reply,1242399821442490368,15336599,1242399140098838528,10889262,0.2731
reply,1242399821740335110,1035233325944856577,1242389736410341376,139184729,-1.6026
reply,1242399825099780096,982664924,1242396623038074881,190638538,-1.4321
reply,1242399825246765056,1203594578210762752,1242383459877871616,982631863087960070,-0.7278
reply,1242399825393594368,1157782100818497536,1242203219461373952,17825891,-0.8931
reply,1242399829432643585,1912316617,1242351416447991808,749572533423378432,-1.0874
reply,1242399838529970178,1144632661291352066,1242397381766680579,1144632661291352066,0.7002
reply,1242399838777434112,3283092067,1242312049343909888,3283092067,-0.7904
reply,1242399838605586432,717754742,1240613214850887682,13267912,-0.0100
reply,1242399854795554817,1153276158596800512,1242206558576168969,2301220502,0.6568
reply,1242399858675326978,274876681,1242396768027004928,75716063,0.5514
reply,1242399859539206145,874575905129156608,1242398595803803648,86437069,-0.7071
reply,1242399867533737989,16958445,1241827221653856257,840163803811594241,-1.7128
reply,1242399872025690113,165296324,1242354099665793024,1054111474971435008,0.5725
